ano;codigo_escola;escola;endereco_bairro;endereco_logradouro;endereco_numero;rpa;ano_ensino;modalidade_ensino_codigo;modalidade_ensino;serie;turma;turno;matricula;sexo;idade;situacao_nome;faixa_etaria
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;15641112;Feminino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17618630;Feminino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;16756592;Masculino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;12998192;Masculino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17019605;Masculino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;15655024;Feminino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;15685799;Masculino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;14321661;Feminino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17062500;Feminino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;16618904;Feminino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17052335;Masculino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17612810;Masculino;5;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17058686;Masculino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;16604423;Feminino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;16120310;Masculino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;16059824;Masculino;6;APROVADO;Criança
2017;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;SN;SUL;GRUPO V;0;EDUCACAO INFANTIL;GRUPO V;A;MANHÃ;17025265;Masculino;6;APROVADO;Criança
