ano;codigo_escola;escola;endereco_bairro;endereco_logradouro;endereco_numero;rpa;ano_ensino;modalidade_ensino_codigo;serie_codigo;modalidade_ensino;serie;turma;turno;matricula;sexo;idade;situacao_codigo;situacao_nome
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;19930623;2;5;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;21009007;2;6;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;21000395;1;6;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;20652119;2;5;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;20683979;1;6;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;21025258;1;5;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;21097186;2;5;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;20686463;2;6;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;21007578;2;6;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;20686315;2;6;AP;APROVADO
2021;146;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;GRUPO V;0;5;EDUCACAO INFANTIL;GRUPO V;B;TARDE;21016356;2;6;AP;APROVADO
